
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.01
T[K]                          726.094             726.094
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.22716             2.22716
MW[kg/kmol]                   26.53940            26.53940
Phi[-]                        0.00000             0.86812
H[J/kg]                       1.817917e+05        1.817917e+05
U[J/kg]                       -4.568437e+04       -4.568437e+04
Conv.(%) O2                   0.000000e+00        9.538808e-14
Conv.(%) N2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        1.546967e-03        1.546967e-03
Element(kmol/s) H             9.074933e-04        9.074933e-04
Element(kmol/s) O             5.226772e-04        5.226772e-04
Element(kmol/s) N             2.268760e-03        2.268760e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.577014e-19        5.457388e-19
NH3                           1.254845e-01        1.254845e-01
H2                            1.373842e-23        2.592018e-22
O2                            2.036827e-01        2.036827e-01
H                             4.197104e-27        1.956895e-25
O                             1.080656e-24        3.060858e-23
OH                            6.403268e-26        2.042331e-24
HO2                           2.633039e-17        2.207365e-16
H2O                           4.449611e-19        7.740489e-19
H2O2                          6.246762e-18        8.910392e-18
NH2                           1.841018e-17        1.153933e-16
NH                            4.983792e-27        1.552410e-30
N                             5.569992e-36        6.603901e-40
NNH                           2.644055e-32        1.840808e-30
NH2OH                         3.947080e-22        4.590102e-22
H2NO                          3.625038e-19        7.221636e-19
HNOH                          1.002255e-21        2.593540e-21
HNO                           6.315448e-22        4.490396e-21
HON                           2.820560e-28        3.090430e-28
NO2                           8.164805e-25        8.170577e-25
HONO                          3.379104e-26        3.577325e-26
HNO2                          4.652709e-30        6.931478e-30
NO3                           3.693587e-34        3.664111e-34
HONO2                         5.476419e-44        7.644164e-42
N2O                           2.638617e-25        2.862157e-24
N2H4                          3.879668e-20        2.769387e-20
N2H3                          1.645150e-19        1.752659e-19
N2H2                          8.110154e-24        1.092059e-23
H2NN                          7.819078e-30        2.452916e-31
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.708328e-01        6.708328e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.163761e-19        4.826894e-19
NH3                           1.955425e-01        1.955425e-01
H2                            1.808579e-22        3.412232e-21
O2                            1.689361e-01        1.689361e-01
H                             1.105046e-25        5.152263e-24
O                             1.792609e-24        5.077400e-23
OH                            9.992291e-26        3.187055e-24
HO2                           2.117169e-17        1.774893e-16
H2O                           6.555093e-19        1.140316e-18
H2O2                          4.874032e-18        6.952327e-18
NH2                           3.049335e-17        1.911295e-16
NH                            8.808981e-27        2.743924e-30
N                             1.055360e-35        1.251257e-39
NNH                           2.417878e-32        1.683341e-30
NH2OH                         3.171454e-22        3.688119e-22
H2NO                          3.004382e-19        5.985194e-19
HNOH                          8.306557e-22        2.149490e-21
HNO                           5.404275e-22        3.842536e-21
HON                           2.413618e-28        2.644553e-28
NO2                           4.710119e-25        4.713448e-25
HONO                          1.907545e-26        2.019443e-26
HNO2                          2.626510e-30        3.912902e-30
NO3                           1.580956e-34        1.568339e-34
HONO2                         2.306559e-44        3.219569e-42
N2O                           1.591060e-25        1.725852e-24
N2H4                          3.213008e-20        2.293512e-20
N2H3                          1.406705e-19        1.498632e-19
N2H2                          7.167453e-24        9.651212e-24
H2NN                          6.910211e-30        2.167796e-31
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.355215e-01        6.355215e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
