
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1e-05
T[K]                          616.307             685.099
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.47970             2.23071
MW[kg/kmol]                   25.08090            25.08090
Phi[-]                        0.00000             1.67249
H[J/kg]                       -1.655734e+05       -6.896891e+04
U[J/kg]                       -3.698825e+05       -2.960830e+05
Conv.(%) O2                   0.000000e+00        0.000000e+00
Conv.(%) N2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        9.484519e-04        9.484519e-04
Element(kmol/s) H             9.074934e-04        9.074934e-04
Element(kmol/s) O             2.713007e-04        2.713007e-04
Element(kmol/s) N             1.323105e-03        1.323105e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.631052e-25        3.672125e-25
NH3                           2.165728e-01        2.165728e-01
H2                            3.950587e-28        9.151921e-27
O2                            1.824674e-01        1.824674e-01
H                             2.715858e-30        7.075399e-27
O                             2.586320e-28        3.903378e-27
OH                            1.069003e-29        2.608099e-28
HO2                           4.222626e-20        6.404807e-20
H2O                           6.925699e-25        7.555975e-25
H2O2                          2.035370e-23        2.089173e-23
NH2                           2.051840e-20        3.111279e-20
NH                            5.648410e-39        1.352192e-38
N                             2.630120e-46        6.342426e-47
NNH                           9.433744e-36        4.444776e-32
NH2OH                         3.385678e-31        3.552551e-31
H2NO                          5.384419e-25        5.651550e-25
HNOH                          3.036307e-29        3.261895e-29
HNO                           1.999534e-25        2.122644e-25
HON                           2.610046e-37        2.629746e-37
NO2                           9.208100e-37        1.029306e-36
HONO                          4.448998e-41        4.599093e-41
HNO2                          1.996362e-45        2.303270e-45
NO3                           8.696872e-55        8.740088e-55
HONO2                         4.771402e-53        4.786920e-53
N2O                           1.320235e-25        1.320624e-25
N2H4                          4.447321e-33        4.469523e-33
N2H3                          3.987077e-35        4.065008e-35
N2H2                          3.022106e-39        3.080536e-39
H2NN                          7.163073e-42        1.999826e-41
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.009598e-01        6.009598e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.035061e-25        3.069393e-25
NH3                           3.189385e-01        3.189385e-01
H2                            4.914895e-27        1.138584e-25
O2                            1.430229e-01        1.430229e-01
H                             6.757555e-29        1.760490e-25
O                             4.054456e-28        6.119148e-27
OH                            1.576502e-29        3.846268e-28
HO2                           3.208728e-20        4.866943e-20
H2O                           9.642119e-25        1.051960e-24
H2O2                          1.500821e-23        1.540494e-23
NH2                           3.211758e-20        4.870104e-20
NH                            9.435046e-39        2.258687e-38
N                             4.709487e-46        1.135673e-46
NNH                           8.152671e-36        3.841189e-32
NH2OH                         2.570871e-31        2.697584e-31
H2NO                          4.217291e-25        4.426518e-25
HNOH                          2.378156e-29        2.554846e-29
HNO                           1.617015e-25        1.716574e-25
HON                           2.110734e-37        2.126665e-37
NO2                           5.020051e-37        5.611549e-37
HONO                          2.373490e-41        2.453564e-41
HNO2                          1.065036e-45        1.228768e-45
NO3                           3.517925e-55        3.535406e-55
HONO2                         1.899179e-53        1.905356e-53
N2O                           7.523388e-26        7.525604e-26
N2H4                          3.480710e-33        3.498086e-33
N2H3                          3.221840e-35        3.284814e-35
N2H2                          2.524048e-39        2.572848e-39
H2NN                          5.982562e-42        1.670245e-41
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            5.380386e-01        5.380386e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
