
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   6.81271e-07
T[K]                          953.000             953.000
P[atm]                        2.52000             2.52000
rho[kg/m3]                    0.92971             0.92971
MW[kg/kmol]                   28.85064            28.85064
Phi[-]                        0.00000             0.00000
H[J/kg]                       6.992077e+05        6.992077e+05
U[J/kg]                       4.245627e+05        4.245627e+05
Conv.(%) N2                   0.000000e+00        0.000000e+00
Conv.(%) O2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        4.730100e-04        4.730100e-04
Element(kmol/s) O             1.986642e-04        1.986642e-04
Element(kmol/s) N             7.473557e-04        7.473557e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            7.670908e-01        7.670908e-01
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        0.000000e+00
H                             0.000000e+00        2.068554e-40
O2                            2.329092e-01        2.329092e-01
O                             0.000000e+00        2.765319e-23
H2O                           0.000000e+00        0.000000e+00
OH                            0.000000e+00        1.172867e-39
H2O2                          0.000000e+00        0.000000e+00
HO2                           0.000000e+00        4.691465e-39
NO                            0.000000e+00        5.894511e-37
N2O                           0.000000e+00        3.231692e-23
NO2                           0.000000e+00        1.074154e-46
HNO                           0.000000e+00        9.356077e-62
HNO2                          0.000000e+00        4.425137e-77
HONO                          0.000000e+00        1.735516e-74
HONO2                         0.000000e+00        1.756773e-83
N2H2                          0.000000e+00        0.000000e+00
H2NN                          0.000000e+00        0.000000e+00
NH2OH                         0.000000e+00        5.556681e-105
HNOH                          0.000000e+00        0.000000e+00
NH3                           0.000000e+00        0.000000e+00
N2H4                          0.000000e+00        0.000000e+00
N                             0.000000e+00        7.724107e-38
NO3                           0.000000e+00        3.871552e-47
NH                            0.000000e+00        3.793005e-60
NNH                           0.000000e+00        5.278247e-45
NH2                           0.000000e+00        0.000000e+00
H2NO                          0.000000e+00        0.000000e+00
N2H3                          0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            7.900000e-01        7.900000e-01
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        0.000000e+00
H                             0.000000e+00        5.920547e-39
O2                            2.100000e-01        2.100000e-01
O                             0.000000e+00        4.986638e-23
H2O                           0.000000e+00        0.000000e+00
OH                            0.000000e+00        1.989649e-39
H2O2                          0.000000e+00        0.000000e+00
HO2                           0.000000e+00        4.100823e-39
NO                            0.000000e+00        5.667547e-37
N2O                           0.000000e+00        2.118383e-23
NO2                           0.000000e+00        6.736231e-47
HNO                           0.000000e+00        8.703450e-62
HNO2                          0.000000e+00        2.715590e-77
HONO                          0.000000e+00        1.065040e-74
HONO2                         0.000000e+00        8.043553e-84
N2H2                          0.000000e+00        0.000000e+00
H2NN                          0.000000e+00        0.000000e+00
NH2OH                         0.000000e+00        4.853582e-105
HNOH                          0.000000e+00        0.000000e+00
NH3                           0.000000e+00        0.000000e+00
N2H4                          0.000000e+00        0.000000e+00
N                             0.000000e+00        1.590958e-37
NO3                           0.000000e+00        1.801444e-47
NH                            0.000000e+00        7.288086e-60
NNH                           0.000000e+00        5.247082e-45
NH2                           0.000000e+00        0.000000e+00
H2NO                          0.000000e+00        0.000000e+00
N2H3                          0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
