
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.05
T[K]                          750.828             1816.808
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.22014             0.88926
MW[kg/kmol]                   27.35699            26.51466
Phi[-]                        0.00000             0.51661
H[J/kg]                       3.106657e+05        3.106657e+05
U[J/kg]                       8.247071e+04        -2.590487e+05
Conv.(%) O2                   0.000000e+00        5.219752e+01
Conv.(%) N2                   0.000000e+00        -9.026982e+00
Total species (kmol/s)        2.393744e-03        2.469790e-03
Element(kmol/s) H             9.074933e-04        9.074933e-04
Element(kmol/s) O             8.783235e-04        8.783235e-04
Element(kmol/s) N             3.606667e-03        3.606667e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.421456e-19        1.665670e-03
NH3                           7.867129e-02        2.462577e-05
H2                            1.625040e-22        2.593177e-06
O2                            2.145859e-01        1.025774e-01
H                             1.226856e-25        7.120604e-08
O                             1.919251e-23        1.787664e-05
OH                            1.280419e-24        5.083530e-04
HO2                           1.383886e-16        2.424482e-06
H2O                           4.852824e-19        1.244876e-01
H2O2                          5.586283e-18        2.310618e-07
NH2                           7.234469e-17        3.632825e-06
NH                            9.732680e-31        2.346489e-07
N                             4.140294e-40        6.119411e-09
NNH                           1.154076e-30        1.654243e-10
NH2OH                         2.877720e-22        1.938297e-08
H2NO                          4.527534e-19        3.808151e-08
HNOH                          1.625994e-21        6.390029e-09
HNO                           2.815210e-21        4.552413e-07
HON                           1.937515e-28        4.694240e-08
NO2                           5.122463e-25        1.064653e-05
HONO                          2.242769e-26        3.325284e-07
HNO2                          4.345622e-30        1.733649e-09
NO3                           2.297179e-34        2.796124e-11
HONO2                         4.792434e-42        2.967804e-10
N2O                           1.801973e-24        1.573654e-04
N2H4                          1.736240e-20        2.565587e-10
N2H3                          1.098813e-19        7.904062e-11
N2H2                          6.846557e-24        2.655695e-08
H2NN                          1.537832e-31        5.071146e-11
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.067428e-01        7.705403e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.119401e-19        1.471861e-03
NH3                           1.263701e-01        3.833855e-05
H2                            2.205169e-21        3.410575e-05
O2                            1.834623e-01        8.499922e-02
H                             3.329672e-24        1.873020e-06
O                             3.281763e-23        2.962642e-05
OH                            2.059647e-24        7.925446e-04
HO2                           1.147032e-16        1.947656e-06
H2O                           7.369340e-19        1.832221e-01
H2O2                          4.492970e-18        1.801177e-07
NH2                           1.235183e-16        6.011552e-06
NH                            1.773272e-30        4.143613e-07
N                             8.086384e-40        1.158379e-08
NNH                           1.087866e-30        1.511325e-10
NH2OH                         2.383462e-22        1.555958e-08
H2NO                          3.867956e-19        3.153201e-08
HNOH                          1.389117e-21        5.291033e-09
HNO                           2.483255e-21        3.891974e-07
HON                           1.709053e-28        4.013225e-08
NO2                           3.046086e-25        6.136054e-06
HONO                          1.305073e-26        1.875413e-07
HNO2                          2.528729e-30        9.777531e-10
NO3                           1.013546e-34        1.195701e-11
HONO2                         2.080660e-42        1.248815e-10
N2O                           1.120045e-24        9.480130e-05
N2H4                          1.482192e-20        2.122751e-10
N2H3                          9.684969e-20        6.752159e-11
N2H2                          6.237136e-24        2.344817e-08
H2NN                          1.400947e-31        4.477513e-11
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.901676e-01        7.293001e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
