
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00313493
T[K]                          616.307             616.307
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.47970             2.47970
MW[kg/kmol]                   25.08090            25.08090
Phi[-]                        0.00000             1.67249
H[J/kg]                       -1.655734e+05       -1.655734e+05
U[J/kg]                       -3.698825e+05       -3.698825e+05
Conv.(%) O2                   0.000000e+00        0.000000e+00
Conv.(%) N2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        9.484519e-04        9.484519e-04
Element(kmol/s) H             9.074934e-04        9.074934e-04
Element(kmol/s) O             2.713007e-04        2.713007e-04
Element(kmol/s) N             1.323105e-03        1.323105e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            4.440057e-42        3.631052e-25
NH3                           2.165728e-01        2.165728e-01
H2                            4.997534e-43        3.950587e-28
O2                            1.824674e-01        1.824674e-01
H                             1.425575e-35        2.715858e-30
O                             4.807777e-26        2.586320e-28
OH                            4.584709e-35        1.069003e-29
HO2                           7.920888e-34        4.222626e-20
H2O                           2.363916e-42        6.925699e-25
H2O2                          5.901526e-42        2.035370e-23
NH2                           7.083196e-57        2.051840e-20
NH                            4.886177e-59        5.648410e-39
N                             2.728345e-43        2.630120e-46
NNH                           3.784984e-40        9.433744e-36
NH2OH                         8.748117e-86        3.385678e-31
H2NO                          1.426190e-62        5.384419e-25
HNOH                          2.169623e-67        3.036307e-29
HNO                           1.123235e-59        1.999534e-25
HON                           2.985631e-97        2.610046e-37
NO2                           2.747866e-42        9.208100e-37
HONO                          7.592324e-83        4.448998e-41
HNO2                          2.663008e-84        1.996362e-45
NO3                           2.439524e-60        8.696872e-55
HONO2                         5.196026e-83        4.771402e-53
N2O                           1.320181e-25        1.320235e-25
N2H4                          1.561832e-64        4.447321e-33
N2H3                          3.813836e-68        3.987077e-35
N2H2                          2.383648e-69        3.022106e-39
H2NN                          2.190781e-69        7.163073e-42
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.009598e-01        6.009598e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.711279e-42        3.035061e-25
NH3                           3.189385e-01        3.189385e-01
H2                            6.217394e-42        4.914895e-27
O2                            1.430229e-01        1.430229e-01
H                             3.547095e-34        6.757555e-29
O                             7.536933e-26        4.054456e-28
OH                            6.761254e-35        1.576502e-29
HO2                           6.018997e-34        3.208728e-20
H2O                           3.291099e-42        9.642119e-25
H2O2                          4.351608e-42        1.500821e-23
NH2                           1.108737e-56        3.211758e-20
NH                            8.161821e-59        9.435046e-39
N                             4.885369e-43        4.709487e-46
NNH                           3.270995e-40        8.152671e-36
NH2OH                         6.642769e-86        2.570871e-31
H2NO                          1.117048e-62        4.217291e-25
HNOH                          1.699335e-67        2.378156e-29
HNO                           9.083562e-60        1.617015e-25
HON                           2.414469e-97        2.110734e-37
NO2                           1.498075e-42        5.020051e-37
HONO                          4.050419e-83        2.373490e-41
HNO2                          1.420685e-84        1.065036e-45
NO3                           9.867988e-61        3.517925e-55
HONO2                         2.068194e-83        1.899179e-53
N2O                           7.523079e-26        7.523388e-26
N2H4                          1.222373e-64        3.480710e-33
N2H3                          3.081849e-68        3.221840e-35
N2H2                          1.990810e-69        2.524048e-39
H2NN                          1.829729e-69        5.982562e-42
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            5.380386e-01        5.380386e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
