
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   6.71443e-06
T[K]                          300.000             300.000
P[atm]                        5.00000             5.00000
rho[kg/m3]                    3.45917             3.45917
MW[kg/kmol]                   17.03100            17.03100
Phi[-]                        1000.00000          1000.00000
H[J/kg]                       -2.671757e+06       -2.671757e+06
U[J/kg]                       -2.818216e+06       -2.818216e+06
Conv.(%) NH3                  0.000000e+00        0.000000e+00
Total species (kmol/s)        3.024978e-04        3.024978e-04
Element(kmol/s) H             9.074934e-04        9.074934e-04
Element(kmol/s) N             3.024978e-04        3.024978e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        0.000000e+00
NH3                           1.000000e+00        1.000000e+00
H2                            0.000000e+00        7.997873e-67
O2                            0.000000e+00        0.000000e+00
H                             0.000000e+00        1.415423e-62
O                             0.000000e+00        0.000000e+00
OH                            0.000000e+00        5.644444e-84
HO2                           0.000000e+00        3.296557e-117
H2O                           0.000000e+00        9.258328e-82
H2O2                          0.000000e+00        4.821119e-90
NH2                           0.000000e+00        2.250060e-61
NH                            0.000000e+00        2.034358e-86
N                             0.000000e+00        3.851598e-96
NNH                           0.000000e+00        4.607029e-123
NH2OH                         0.000000e+00        2.117116e-138
H2NO                          0.000000e+00        0.000000e+00
HNOH                          0.000000e+00        7.345222e-156
HNO                           0.000000e+00        0.000000e+00
HON                           0.000000e+00        7.905951e-214
NO2                           0.000000e+00        1.190501e-201
HONO                          0.000000e+00        2.824100e-217
HNO2                          0.000000e+00        9.473983e-239
NO3                           0.000000e+00        2.966127e-224
HONO2                         0.000000e+00        3.805748e-287
N2O                           0.000000e+00        0.000000e+00
N2H4                          0.000000e+00        1.144392e-81
N2H3                          0.000000e+00        1.815070e-104
N2H2                          0.000000e+00        4.916888e-93
H2NN                          0.000000e+00        4.175737e-92
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            0.000000e+00        4.761506e-103
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        0.000000e+00
NH3                           1.000000e+00        1.000000e+00
H2                            0.000000e+00        6.756536e-66
O2                            0.000000e+00        0.000000e+00
H                             0.000000e+00        2.391475e-61
O                             0.000000e+00        0.000000e+00
OH                            0.000000e+00        5.652409e-84
HO2                           0.000000e+00        1.701014e-117
H2O                           0.000000e+00        8.752628e-82
H2O2                          0.000000e+00        2.413962e-90
NH2                           0.000000e+00        2.391610e-61
NH                            0.000000e+00        2.307502e-86
N                             0.000000e+00        4.683127e-96
NNH                           0.000000e+00        2.703546e-123
NH2OH                         0.000000e+00        1.091632e-138
H2NO                          0.000000e+00        0.000000e+00
HNOH                          0.000000e+00        3.906579e-156
HNO                           0.000000e+00        0.000000e+00
HON                           0.000000e+00        4.341467e-214
NO2                           0.000000e+00        4.407223e-202
HONO                          0.000000e+00        1.023063e-217
HNO2                          0.000000e+00        3.432060e-239
NO3                           0.000000e+00        8.147234e-225
HONO2                         0.000000e+00        1.028625e-287
N2O                           0.000000e+00        0.000000e+00
N2H4                          0.000000e+00        6.081926e-82
N2H3                          0.000000e+00        9.959554e-105
N2H2                          0.000000e+00        2.788529e-93
H2NN                          0.000000e+00        2.368197e-92
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            0.000000e+00        2.894739e-103
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
