
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   6.76814e-06
T[K]                          300.000             300.000
P[atm]                        2.52000             2.52000
rho[kg/m3]                    1.74342             1.74342
MW[kg/kmol]                   17.03100            17.03100
Phi[-]                        1000.00000          1000.00000
H[J/kg]                       -2.670893e+06       -2.670893e+06
U[J/kg]                       -2.817352e+06       -2.817352e+06
Conv.(%) NH3                  0.000000e+00        0.000000e+00
Total species (kmol/s)        1.512489e-04        1.512489e-04
Element(kmol/s) H             4.537467e-04        4.537467e-04
Element(kmol/s) N             1.512489e-04        1.512489e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            0.000000e+00        1.279768e-99
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        4.699950e-74
H                             0.000000e+00        2.372919e-70
O2                            0.000000e+00        2.984863e-107
O                             0.000000e+00        5.553690e-99
H2O                           0.000000e+00        6.325597e-90
OH                            0.000000e+00        8.984869e-92
H2O2                          0.000000e+00        5.800813e-98
HO2                           0.000000e+00        2.342929e-125
NO                            0.000000e+00        0.000000e+00
N2O                           0.000000e+00        0.000000e+00
NO2                           0.000000e+00        1.826246e-246
HNO                           0.000000e+00        8.813122e-162
HNO2                          0.000000e+00        6.564723e-260
HONO                          0.000000e+00        1.811068e-253
HONO2                         0.000000e+00        3.358658e-320
N2H2                          0.000000e+00        1.156102e-113
H2NN                          0.000000e+00        8.466730e-93
NH2OH                         0.000000e+00        7.392983e-155
HNOH                          0.000000e+00        2.564956e-172
NH3                           1.000000e+00        1.000000e+00
N2H4                          0.000000e+00        1.810192e-91
N                             0.000000e+00        1.257234e-104
NO3                           0.000000e+00        1.012581e-269
NH                            0.000000e+00        1.307110e-94
NNH                           0.000000e+00        9.194361e-124
NH2                           0.000000e+00        3.772699e-69
H2NO                          0.000000e+00        1.344776e-166
N2H3                          0.000000e+00        8.072598e-99
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            0.000000e+00        7.780301e-100
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        3.970479e-73
H                             0.000000e+00        4.009244e-69
O2                            0.000000e+00        1.588699e-107
O                             0.000000e+00        5.911926e-99
H2O                           0.000000e+00        5.980086e-90
OH                            0.000000e+00        8.997548e-92
H2O2                          0.000000e+00        2.904500e-98
HO2                           0.000000e+00        1.208945e-125
NO                            0.000000e+00        0.000000e+00
N2O                           0.000000e+00        0.000000e+00
NO2                           0.000000e+00        6.760742e-247
HNO                           0.000000e+00        4.839630e-162
HNO2                          0.000000e+00        2.378146e-260
HONO                          0.000000e+00        6.560804e-254
HONO2                         0.000000e+00        9.075986e-321
N2H2                          0.000000e+00        6.556635e-114
H2NN                          0.000000e+00        4.801761e-93
NH2OH                         0.000000e+00        3.811986e-155
HNOH                          0.000000e+00        1.364180e-172
NH3                           1.000000e+00        1.000000e+00
N2H4                          0.000000e+00        9.620353e-92
N                             0.000000e+00        1.528660e-104
NO3                           0.000000e+00        2.781316e-270
NH                            0.000000e+00        1.482611e-94
NNH                           0.000000e+00        5.395533e-124
NH2                           0.000000e+00        4.010038e-69
H2NO                          0.000000e+00        7.152232e-167
N2H3                          0.000000e+00        4.429552e-99
-----------------------------------------------------------------------------
